customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
8766-27230,Male,0,No,No,37,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,38.35,1524.41,No
2428-82495,Male,0,No,Yes,23,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Electronic check,26.93,676.4,No
5378-52730,Female,0,Yes,No,23,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),12.73,195.46,No
8529-95203,Male,0,No,No,30,No,No phone service,Fiber optic,Yes,Yes,No,No,No,No,One year,Yes,Mailed check,82.88,2495.14,Yes
5474-13323,Female,1,No,Yes,25,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,No,Credit card (automatic),52.13,1329.03,No
4071-10445,Male,1,Yes,No,41,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,62.64,2588.22,No
1555-92945,Female,0,Yes,Yes,49,No,No phone service,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),99.2,4813.92,No
9547-19963,Female,0,Yes,No,32,No,No phone service,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),101.59,3288.15,No
2563-60511,Male,0,Yes,No,40,No,No phone service,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),41.51,1748.97,No
2040-25437,Female,0,Yes,No,23,No,No phone service,DSL,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Electronic check,110.93,2589.78,No
3686-26855,Female,1,No,Yes,17,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,No,One year,Yes,Electronic check,99.61,1590.18,Yes
3553-91947,Female,0,No,No,22,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),81.12,1762.84,No
2779-20847,Female,0,Yes,Yes,27,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,No,Month-to-month,No,Electronic check,20.07,516.48,No
1075-13236,Female,0,No,Yes,31,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),51.68,1600.45,No
5326-71897,Male,1,No,Yes,18,Yes,Yes,DSL,No,Yes,No,No,No,Yes,Two year,Yes,Credit card (automatic),73.61,1322.44,No
6835-23487,Female,0,Yes,No,40,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Electronic check,53.2,2083.6,No
6057-87384,Female,0,Yes,Yes,23,Yes,No,DSL,No,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,38.64,900.79,Yes
3349-72423,Female,0,No,Yes,32,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),87.62,2942.71,No
3773-23155,Female,0,Yes,No,34,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,31.15,1088.82,No
3262-21255,Female,0,Yes,No,39,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,71.9,2811.26,No
4229-11979,Male,0,No,No,38,Yes,Yes,DSL,Yes,No,Yes,No,Yes,Yes,One year,No,Mailed check,13.26,532.08,No
1392-31305,Male,1,Yes,No,19,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,74.24,1487.34,No
2108-84543,Male,0,Yes,Yes,70,Yes,Yes,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),42.08,2996.56,No
5362-45094,Female,0,Yes,No,34,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,One year,No,Electronic check,72.93,2441.86,No
6188-45098,Female,1,Yes,No,29,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,One year,Yes,Electronic check,56.7,1626.82,No
9802-99566,Male,1,No,No,44,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),44.87,2023.24,No
6057-43770,Male,0,Yes,No,13,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),50.52,670.22,No
4998-19734,Female,0,Yes,No,31,No,No phone service,DSL,Yes,Yes,No,No,Yes,Yes,Two year,No,Bank transfer (automatic),82.73,2634.68,No
9864-81984,Male,0,No,Yes,25,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Two year,Yes,Mailed check,28.99,755.92,No
7566-49605,Male,1,Yes,No,46,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Electronic check,79.39,3670.29,No
4677-87932,Female,1,Yes,No,42,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),33.16,1424.55,No
6796-65619,Male,0,No,Yes,14,No,No phone service,Fiber optic,Yes,No,No,No,No,Yes,Two year,No,Credit card (automatic),58.59,807.15,Yes
7363-37881,Female,0,No,No,20,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,No,Bank transfer (automatic),67.55,1267.56,Yes
9123-73401,Female,0,No,Yes,29,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Mailed check,60.96,1858.98,No
9222-41177,Female,0,No,Yes,39,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),73.69,2856.69,No
8690-50122,Female,0,Yes,No,32,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,One year,No,Electronic check,22.2,692.62,No
2400-45297,Female,1,Yes,No,30,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),47.67,1373.61,No
5071-46680,Male,0,Yes,No,17,Yes,No,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Bank transfer (automatic),49.03,890.18,No
9808-93452,Female,0,No,Yes,46,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,89.98,4203.44,No
3786-61044,Male,0,No,Yes,14,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),51.48,770.73,Yes
8169-54084,Male,0,Yes,Yes,16,Yes,No,DSL,No,Yes,No,Yes,No,Yes,Two year,Yes,Credit card (automatic),40.85,646.78,No
1870-44189,Male,0,No,No,34,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,One year,Yes,Mailed check,66.22,2240.39,No
5196-23510,Male,0,No,No,29,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),107.26,3100.51,Yes
3739-32152,Female,0,Yes,No,29,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),83.04,2394.32,No
1940-94738,Female,0,Yes,Yes,36,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes,One year,No,Credit card (automatic),52.61,1970.47,No
1340-36445,Female,0,No,No,66,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),20.22,1486.69,No
8422-86688,Male,0,Yes,No,29,No,No phone service,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),76.45,2154.65,Yes
5133-81153,Male,0,Yes,Yes,40,Yes,Yes,DSL,Yes,Yes,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),52.21,2018.35,No
1659-11195,Male,0,Yes,Yes,21,No,No phone service,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,66.07,1393.4,No
4457-69949,Male,0,Yes,No,17,Yes,No,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,79.5,1349.38,Yes
3975-35433,Male,0,No,No,53,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,No,Credit card (automatic),60.75,3219.75,No
1453-15305,Male,0,Yes,Yes,33,Yes,Yes,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),69.46,2286.8,No
9184-68860,Female,1,No,Yes,52,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),95.84,4911.61,No
6442-83613,Female,0,No,Yes,29,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,85.6,2468.87,No
1818-58648,Female,1,No,Yes,17,No,No phone service,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,64.84,1040.35,Yes
5868-73090,Female,0,No,No,23,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),75.23,1663.04,No
1012-52113,Female,0,No,No,28,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),60.53,1754.77,No
8727-52642,Male,0,Yes,No,14,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,59.51,788.42,Yes
1920-43062,Male,0,Yes,Yes,19,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),121.61,2293.39,Yes
5920-81633,Female,1,Yes,No,13,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,One year,Yes,Bank transfer (automatic),78.96,1019.81,No
3418-51604,Male,1,Yes,No,12,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,86.04,1013.95,Yes
7475-16678,Female,0,Yes,No,36,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),44.57,1497.75,No
3017-42121,Female,0,Yes,No,16,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),91.63,1416.92,No
8957-58503,Female,0,Yes,No,52,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,One year,No,Bank transfer (automatic),75.83,3925.65,No
5792-96940,Male,0,No,No,46,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Mailed check,66.67,3108.67,No
7830-81279,Male,1,No,Yes,28,Yes,No,DSL,No,Yes,Yes,Yes,Yes,No,Two year,Yes,Mailed check,61.52,1722.74,No
3434-26494,Male,0,Yes,No,45,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,68.07,3024.67,No
3868-54185,Male,0,No,No,53,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),78.77,4162.24,No
2438-19678,Male,0,No,Yes,47,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,36.13,1646.6,No
4543-47632,Female,1,Yes,No,12,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Credit card (automatic),140.36,1671.63,Yes
2781-56235,Male,0,Yes,Yes,54,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,Yes,One year,Yes,Bank transfer (automatic),31.66,1752.97,No
7343-11648,Female,1,Yes,Yes,29,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),99.56,2883.75,No
3263-91213,Female,1,No,Yes,43,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,48.45,2098.68,No
1211-98301,Female,0,No,No,22,Yes,No,DSL,No,No,Yes,No,Yes,No,One year,Yes,Electronic check,43.56,986.95,No
9699-77917,Male,0,No,Yes,26,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Mailed check,62.72,1645.6,No
7159-26489,Female,1,No,Yes,38,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,Yes,One year,No,Credit card (automatic),90.81,3609.01,No
8027-87281,Male,0,No,No,56,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),85.54,4833.72,No
1331-15818,Female,0,Yes,Yes,42,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),31.69,1275.62,No
7860-43149,Female,0,Yes,Yes,23,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),14.6,357.46,No
9044-37312,Male,0,Yes,Yes,44,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,No,Two year,No,Electronic check,39.57,1717.68,No
9169-47124,Male,0,Yes,No,15,Yes,Yes,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),32.18,564.12,No
9742-11316,Female,0,Yes,No,54,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Mailed check,26.39,1516.3,No
6720-80990,Male,0,No,No,26,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,86.21,2302.94,No
1727-70046,Female,0,No,No,40,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,33.7,1481.74,No
5975-88643,Male,1,Yes,No,17,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,91.66,1588.22,Yes
4243-79610,Male,1,Yes,Yes,26,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,One year,Yes,Electronic check,42.21,1081.88,No
1648-96724,Female,0,No,No,39,Yes,No,DSL,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),15.93,678.74,No
6095-74042,Male,0,No,Yes,37,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,79.23,2859.03,No
7614-33102,Male,0,No,Yes,27,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,83.36,2181.01,No
8135-41957,Female,1,No,No,28,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),23.48,675.34,No
2009-22872,Female,1,Yes,Yes,16,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,No,Two year,Yes,Electronic check,41.68,650.91,Yes
2550-60094,Female,0,No,Yes,4,No,No phone service,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,No,Electronic check,104.8,449.07,Yes
9995-57719,Male,0,Yes,No,28,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),49.63,1355.27,No
8492-83885,Male,0,Yes,No,24,No,No phone service,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Mailed check,59.27,1408.9,No
4401-29693,Female,0,No,No,26,No,No phone service,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),30.84,902.75,No
8447-60478,Male,0,No,No,15,Yes,No,DSL,Yes,No,No,No,No,No,One year,No,Electronic check,41.06,567.35,Yes
6424-53677,Male,0,No,Yes,9,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,127.13,1117.47,Yes
5241-70012,Male,0,No,Yes,27,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,67.75,1866.72,No
4161-20760,Female,0,No,No,20,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,34.9,684.26,No
5155-21584,Male,0,No,No,37,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,Yes,Mailed check,35.41,1388.66,No
8478-12106,Female,0,Yes,No,36,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),52.12,1866.39,No
9719-23669,Male,0,Yes,No,35,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,One year,No,Mailed check,59.82,1974.47,No
7617-35223,Female,0,No,No,37,Yes,No,DSL,Yes,No,No,Yes,No,Yes,One year,Yes,Electronic check,20.56,752.55,No
6660-70666,Male,0,Yes,Yes,16,Yes,No,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,106.42,1774.39,Yes
9624-45706,Male,0,No,No,31,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),23.56,703.31,No
2176-78019,Female,0,Yes,No,42,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,Yes,Two year,Yes,Credit card (automatic),38.14,1697.95,No
8956-71585,Female,0,Yes,No,47,No,No phone service,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,One year,Yes,Credit card (automatic),41.06,1956.67,No
9592-37482,Male,0,Yes,No,13,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,89.34,1124.01,Yes
3233-70369,Female,0,Yes,No,29,No,No phone service,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Bank transfer (automatic),88.81,2608.4,No
5700-44143,Male,0,Yes,Yes,48,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,63.02,2957.5,No
6906-34240,Male,0,No,No,16,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,One year,No,Electronic check,57.64,962.17,Yes
8860-20015,Female,1,No,Yes,37,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,84.5,3168.55,No
8526-92164,Male,0,No,No,25,No,No phone service,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),81.13,1962.29,No
6559-73023,Female,0,No,No,50,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),14.69,717.05,No
7732-61500,Male,0,Yes,Yes,19,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Mailed check,55.81,1083.12,No
3513-73925,Female,1,Yes,No,21,No,No phone service,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),25.11,469.81,Yes
8830-90596,Female,0,No,Yes,22,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,Two year,Yes,Credit card (automatic),67.28,1421.17,No
7944-59631,Female,0,Yes,No,21,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),80.66,1739.88,Yes
8910-86190,Female,0,No,Yes,36,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,One year,No,Electronic check,36.71,1264.82,No
6649-73652,Male,0,Yes,No,22,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),87.07,1942.34,No
2096-61087,Female,1,Yes,No,20,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),68.79,1320.75,No
2951-89789,Male,0,Yes,Yes,25,Yes,Yes,DSL,No,Yes,No,Yes,Yes,Yes,One year,Yes,Mailed check,19.18,516.41,No
8799-64909,Female,0,Yes,Yes,49,No,No phone service,Fiber optic,Yes,No,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),77.36,3814.49,No
9804-21565,Male,0,No,No,19,No,No phone service,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),60.85,1226.62,Yes
1595-37597,Female,0,No,No,36,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),47.67,1749.38,No
8875-75623,Male,1,Yes,Yes,38,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,64.89,2443.57,No
5439-19432,Male,0,Yes,Yes,14,No,No phone service,DSL,No,No,Yes,Yes,Yes,Yes,One year,No,Credit card (automatic),82.38,1052.21,Yes
